Position,Move,Times_Repeated,Move_Number,Side,Original_Eval_Before,Original_Eval_After,Original_Eval_Drop,Original_Move_Quality,Stockfish_Eval_Drop,Stockfish_Move_Quality,Stockfish_Best_Move,Opening,Move_Theme,Board_Image,Your_Move_Eval,Best_Move_Eval,Eval_Difference
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,9,7,White,0.21,0.25,-0.04,Good,51,Excellent,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_142.png,,,
rnbqk2r/pppp1pp1/4pn1p/6B1/1bPP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 5,Bh4,8,9,White,-0.08,0.1,-0.18,Mistake,22,Excellent,Bh4,Queen's Pawn Game,bishop_development,board_images/board_144.png,,,
rnbqkb1r/pp1ppppp/5n2/8/2Pp4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Qxd4,8,7,White,-0.22,-0.11,-0.11,Mistake,-21,Excellent,Qxd4,Benoni Defense,tactical; capture,board_images/board_145.png,,,
rnbqkb1r/pp1ppppp/2p2n2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,8,5,White,0.29,0.28,0.01,Excellent,73,Good,Nf3,Queen's Pawn Game,knight_development; knight_development,board_images/board_147.png,,,
rnbqkbnr/pp2pppp/8/2pp4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,8,5,White,0.49,0.28,0.21,Blunder,68,Inaccuracy,cxd5,Queen's Gambit,knight_development; knight_development,board_images/board_148.png,,,
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 2 5,Nf3,8,9,White,0.2,0.18,0.02,Good,48,Excellent,Nf3,Queen's Pawn Game,knight_development; knight_development,board_images/board_149.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq - 0 3,Nc6,8,6,Black,0.09,0.24,-0.15,Mistake,-30,Inaccuracy,c6,King's Pawn Game,knight_development; knight_development,board_images/board_150.png,,,
rnbqkbnr/ppp2ppp/8/4P3/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,Nf3,8,7,White,0.69,0.62,0.07,Inaccuracy,153,Excellent,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_151.png,,,
rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,8,7,White,0.57,0.47,0.1,Inaccuracy,98,Excellent,e4,Queen's Pawn Game,pawn_push; central_control,board_images/board_153.png,,,
r1bqkbnr/pppp1ppp/8/4n3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,Nc3,8,7,White,0.59,0.61,-0.02,Good,139,Good,Qe2,Queen's Pawn Game,knight_development; knight_development,board_images/board_155.png,,,
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 1 3,Nf6,8,6,Black,0.01,0.14,-0.13,Mistake,-9,Excellent,Nf6,Queen's Pawn Game,knight_development; knight_development,board_images/board_157.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,8,5,White,0.66,-0.12,0.78,Blunder,66,Good,dxe5,Budapest Gambit,knight_development; knight_development,board_images/board_158.png,,,
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,dxc5,8,3,White,0.69,0.09,0.6,Blunder,80,Good,d5,Queen's Pawn Game,capture,board_images/board_159.png,,,
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e5,8,2,Black,0.19,0.17,0.02,Excellent,-28,Inaccuracy,d5,Unknown,pawn_push; central_control,board_images/board_160.png,,,
rnbqkbnr/ppp2ppp/4p3/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,7,7,White,0.62,0.59,0.03,Good,104,Excellent,e4,Queen's Pawn Game,pawn_push; central_control,board_images/board_161.png,,,
rnbqkbnr/pp2pppp/8/2pp4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,Nc6,7,6,Black,0.19,0.19,0.0,Best,-40,Inaccuracy,Nf6,Queen's Pawn Game,knight_development; knight_development,board_images/board_163.png,,,
r1bqkbnr/pppp1ppp/8/4n3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,Bf4,7,7,White,0.59,0.28,0.31,Blunder,96,Inaccuracy,Nc3,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_164.png,,,
rnbqkb1r/ppp2ppp/8/3pP3/4n3/2N2N2/PPPP2PP/R1BQKB1R b KQkq - 1 5,Bg4,7,10,Black,-0.2,0.3,-0.5,Blunder,-30,Inaccuracy,Bb4,King's Pawn Game,bishop_development,board_images/board_170.png,,,
rnbqkbnr/pp2pppp/8/2pp4/3P4/2P2N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,Nc6,7,6,Black,0.18,0.55,-0.37,Blunder,-61,Inaccuracy,Nf6,Queen's Pawn Game,knight_development; knight_development,board_images/board_171.png,,,
rnbqkbnr/ppp2ppp/4p3/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,exd5,7,6,Black,0.1,0.12,-0.02,Excellent,-45,Excellent,exd5,Queen's Gambit,pawn_capture; capture,board_images/board_173.png,,,
r1bqkbnr/pp1ppppp/2n5/8/2PQ4/8/PP2PPPP/RNB1KBNR w KQkq - 1 4,Qd1,7,7,White,-0.15,-0.21,0.06,Inaccuracy,-22,Good,Qd3,Queen's Pawn Game,general,board_images/board_174.png,,,
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,Nc6,7,6,Black,0.14,0.15,-0.01,Excellent,-24,Excellent,Nc6,Queen's Pawn Game,knight_development; knight_development,board_images/board_176.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq - 0 3,h6,7,6,Black,0.09,0.3,-0.21,Blunder,-25,Inaccuracy,c6,King's Pawn Game,defensive,board_images/board_179.png,,,
rnbqkb1r/pp2pppp/2p2n2/8/2pP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,e4,7,9,White,0.3,0.09,0.21,Blunder,23,Good,a4,Queen's Pawn Game,pawn_push; central_control,board_images/board_180.png,,,
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,d5,6,3,White,0.69,0.78,-0.09,Inaccuracy,153,Excellent,d5,Queen's Pawn Game,pawn_push; central_control,board_images/board_184.png,,,
rnbqkbnr/ppp2ppp/3p4/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,e4,6,5,White,1.62,0.34,1.28,Blunder,188,Mistake,Nf3,Queen's Pawn Game,pawn_push; central_control,board_images/board_188.png,,,
rnbqkbnr/pp2pppp/2p5/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,6,7,White,0.28,0.23,0.05,Inaccuracy,52,Good,e3,Queen's Gambit,pawn_push; central_control,board_images/board_190.png,,,
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/2N5/PPP1PPPP/R2QKBNR b KQkq - 1 3,Nc6,6,6,Black,0.01,0.08,-0.07,Inaccuracy,-7,Excellent,Nc6,Queen's Pawn Game,knight_development; knight_development,board_images/board_192.png,,,
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/P7/1P2PPPP/RNBQKBNR b KQkq - 0 3,Nf6,6,6,Black,0.07,0.11,-0.04,Good,10,Good,dxc4,Queen's Gambit,knight_development; knight_development,board_images/board_193.png,,,
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/2P5/PP2PPPP/RN1QKBNR b KQkq - 0 3,Nc6,6,6,Black,0.07,0.11,-0.04,Good,-9,Good,Qb6,Queen's Pawn Game,knight_development; knight_development,board_images/board_195.png,,,
rnbqkbnr/ppp1pppp/8/3p4/5P2/5N2/PPPPP1PP/RNBQKB1R b KQkq - 1 2,c5,6,4,Black,-0.21,-0.17,-0.04,Good,55,Excellent,c5,Bird's Opening,pawn_push; central_control; queenside_attack,board_images/board_200.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,h6,6,6,Black,-0.14,1.03,-1.17,Blunder,-80,Inaccuracy,Nc6,Petroff Defense,defensive,board_images/board_202.png,,,
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 4,c5,6,8,Black,0.25,0.32,-0.07,Inaccuracy,-73,Good,dxc4,Queen's Gambit,pawn_push; central_control; queenside_attack,board_images/board_204.png,,,
rnbqkb1r/ppp2ppp/8/3pP3/8/2P2Q2/P1PP2PP/R1B1KBNR b KQkq - 0 6,Be6,6,12,Black,0.23,0.45,-0.22,Blunder,-62,Inaccuracy,Be7,King's Pawn Game,bishop_development,board_images/board_205.png,,,
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 1 5,Be2,6,9,White,0.53,0.56,-0.03,Good,114,Good,Nf3,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_207.png,,,
rnbqk2r/ppp1bppp/4pn2/8/2BP4/2N1P3/PP3PPP/R1BQK1NR w KQkq - 3 6,Nf3,6,11,White,0.36,0.49,-0.13,Mistake,72,Excellent,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_211.png,,,
rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,6,7,White,0.41,0.38,0.03,Good,93,Inaccuracy,a3,Dutch Defense,knight_development; knight_development,board_images/board_212.png,,,
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5,Nf3,6,9,White,0.56,0.49,0.07,Inaccuracy,114,Good,h3,King's Indian Defense,knight_development; knight_development,board_images/board_216.png,,,
rnbqkbnr/ppp2ppp/8/3P4/5p2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 4,Nf6,6,8,Black,-0.13,-0.14,0.01,Excellent,57,Excellent,Nf6,King's Pawn Game,knight_development; knight_development,board_images/board_217.png,,,
rnbqkbnr/pp2pppp/8/2Pp4/5B2/8/PPP1PPPP/RN1QKBNR b KQkq - 0 3,Nc6,5,6,Black,-0.04,0.09,-0.13,Mistake,9,Good,e6,Queen's Pawn Game,knight_development; knight_development,board_images/board_219.png,,,
rnbqk2r/pppp1p2/4pn1p/6p1/1bPP3B/2N5/PP2PPPP/R2QKBNR w KQkq - 0 6,Bg3,5,11,White,0.22,0.2,0.02,Excellent,33,Excellent,Bg3,Queen's Pawn Game,bishop_development,board_images/board_220.png,,,
rnbqkb1r/pppp1ppp/5n2/8/3QP3/5N2/PPP2PPP/RNB1KB1R b KQkq - 0 4,Nc6,5,8,Black,-0.23,-0.21,-0.02,Good,32,Excellent,Nc6,Petroff Defense,knight_development; knight_development,board_images/board_221.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,Nc6,5,6,Black,-0.14,-0.14,0.0,Best,30,Excellent,Nc6,Petroff Defense,knight_development; knight_development,board_images/board_222.png,,,
rnbqkbnr/pp2pppp/8/2pp4/3P4/2P1P3/PP3PPP/RNBQKBNR b KQkq - 0 3,Nc6,5,6,Black,0.02,0.16,-0.14,Mistake,-20,Inaccuracy,e6,Queen's Pawn Game,knight_development; knight_development,board_images/board_224.png,,,
r1bqkbnr/pp2pppp/2n5/2pp4/3P1P2/2P1P3/PP4PP/RNBQKBNR b KQkq - 0 4,Nf6,5,8,Black,-0.34,-0.35,0.01,Excellent,80,Good,Bf5,Queen's Pawn Game,knight_development; knight_development,board_images/board_225.png,,,
rnbqk2r/ppp2p2/4pn1p/3p2p1/1bPP3B/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 7,Bg3,5,13,White,0.32,0.34,-0.02,Good,82,Excellent,Bg3,Queen's Pawn Game,bishop_development,board_images/board_226.png,,,
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,Nf6,5,6,Black,0.1,0.11,-0.01,Excellent,-17,Excellent,Nf6,Queen's Gambit,knight_development; knight_development,board_images/board_227.png,,,
rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1,e5,5,2,Black,-0.3,-0.3,0.0,Best,49,Excellent,e5,Unknown,pawn_push; central_control,board_images/board_228.png,,,
rnbqkbnr/p1pp1ppp/1p2p3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,5,5,White,0.58,0.49,0.09,Inaccuracy,143,Good,e4,Queen's Pawn Game,knight_development; knight_development,board_images/board_231.png,,,
rnbqkb1r/ppp2ppp/4pn2/8/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Nc3,5,9,White,0.32,0.24,0.08,Inaccuracy,64,Good,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_233.png,,,
rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,5,7,White,0.57,0.47,0.1,Inaccuracy,115,Good,h3,King's Indian Defense,knight_development; knight_development,board_images/board_234.png,,,
rnbqkbnr/ppp2ppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,exd4,5,9,White,0.27,0.28,-0.01,Excellent,67,Excellent,exd4,Queen's Gambit,pawn_capture; capture,board_images/board_235.png,,,
rnbqkbnr/ppp1pppp/8/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,c5,5,4,Black,-0.87,1.22,-2.09,Blunder,-45,Inaccuracy,dxe4,Zukertort Opening,pawn_push; central_control; queenside_attack,board_images/board_240.png,,,
rnbqkbnr/ppp2ppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,Qxd4,5,9,White,0.27,-0.21,0.48,Blunder,17,Inaccuracy,exd4,Queen's Gambit,tactical; capture,board_images/board_241.png,,,
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,5,9,White,0.25,0.11,0.14,Mistake,46,Good,cxd5,Queen's Gambit,bishop_development; bishop_development,board_images/board_246.png,,,
rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq - 3 4,Be7,5,8,Black,0.12,0.27,-0.15,Mistake,-47,Good,dxc4,Queen's Gambit,bishop_development; bishop_development,board_images/board_247.png,,,
rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3,5,7,White,0.52,0.31,0.21,Blunder,84,Inaccuracy,Bd2,Dutch Defense,knight_development; knight_development,board_images/board_249.png,,,
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3,5,11,White,0.37,0.16,0.21,Blunder,63,Good,dxc5,Queen's Gambit,general,board_images/board_251.png,,,
rnbqkbnr/ppp2ppp/8/3P4/3p4/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,Qxd5,5,8,Black,-0.15,-0.06,-0.09,Inaccuracy,40,Good,Nf6,King's Pawn Game,capture,board_images/board_252.png,,,
rnbqkbnr/pp2pppp/2pp4/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,5,5,White,0.81,0.77,0.04,Good,144,Good,e4,Queen's Pawn Game,knight_development; knight_development,board_images/board_253.png,,,
rnbqkbnr/pp1p1ppp/2p1p3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,5,5,White,0.6,0.6,0.0,Best,109,Good,Nd2,Queen's Pawn Game,knight_development; knight_development,board_images/board_254.png,,,
rnbqkbnr/ppp1pp1p/3p2p1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,5,5,White,0.51,0.56,-0.05,Inaccuracy,106,Good,e4,Queen's Pawn Game,knight_development; knight_development,board_images/board_257.png,,,
rnbqkbnr/pppp1ppp/8/8/3QP3/8/PPP2PPP/RNB1KBNR b KQkq - 0 3,Nc6,5,6,Black,-0.23,-0.17,-0.06,Inaccuracy,44,Excellent,Nc6,King's Pawn Game,knight_development; knight_development,board_images/board_258.png,,,
rnbqkb1r/pppp1ppp/5n2/8/2Pp4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Qxd4,5,7,White,-0.14,-0.15,0.01,Excellent,-26,Excellent,Qxd4,Budapest Gambit,tactical; capture,board_images/board_263.png,,,
rnbqkb1r/pppp1ppp/5n2/4P3/3p4/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,Nd5,5,8,Black,0.52,1.44,-0.92,Blunder,-200,Inaccuracy,Ne4,Petroff Defense,knight_development,board_images/board_265.png,,,
rnbqkbnr/ppp2ppp/8/3pp3/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,dxe4,5,6,Black,-0.23,-0.1,-0.13,Mistake,52,Good,exf4,King's Pawn Game,pawn_capture; capture,board_images/board_266.png,,,
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq - 0 6,Nc6,5,12,Black,0.16,0.47,-0.31,Blunder,-53,Inaccuracy,cxd4,Queen's Gambit,knight_development; knight_development,board_images/board_267.png,,,
rnbqk2r/ppp1bppp/4pB2/3p4/2PP4/2N5/PP2PPPP/R2QKBNR b KQkq - 0 5,Bxf6,5,10,Black,-0.15,-0.17,0.02,Good,46,Excellent,Bxf6,Queen's Gambit,capture,board_images/board_269.png,,,
rnbqk2r/ppp1ppbp/3p1np1/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,e4,5,9,White,0.52,0.58,-0.06,Inaccuracy,107,Excellent,e4,King's Indian Defense,pawn_push; central_control,board_images/board_270.png,,,
rnbqkb1r/ppp2ppp/4pn2/3P4/3P4/2N5/PP2PPPP/R1BQKBNR b KQkq - 0 4,Nxd5,5,8,Black,0.29,0.27,0.02,Excellent,-74,Good,exd5,Queen's Gambit,capture,board_images/board_271.png,,,
rnbqkb1r/ppp2ppp/4p3/3n4/3PP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 5,Nxc3,5,10,Black,0.24,0.38,-0.14,Mistake,-58,Excellent,Nxc3,Queen's Gambit,capture,board_images/board_272.png,,,
rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 3 4,e4,5,7,White,0.5,0.61,-0.11,Mistake,108,Excellent,e4,Queen's Pawn Game,pawn_push; central_control,board_images/board_274.png,,,
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 2,c5,5,4,Black,0.28,0.38,-0.1,Inaccuracy,-48,Inaccuracy,e6,Zukertort Opening,pawn_push; central_control; queenside_attack,board_images/board_275.png,,,
rnbqkbnr/pppp2pp/5p2/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,e4,4,5,White,1.39,1.85,-0.46,Blunder,313,Good,Bf4,Queen's Pawn Game,pawn_push; central_control,board_images/board_277.png,,,
rnbqkbnr/pppp1ppp/8/4p3/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Nf6,4,4,Black,-0.32,-0.15,-0.17,Mistake,34,Good,d5,King's Pawn Game,knight_development; knight_development,board_images/board_279.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 2 3,Nc6,4,6,Black,-0.15,-0.12,-0.03,Good,19,Excellent,Nc6,King's Pawn Game,knight_development; knight_development,board_images/board_281.png,,,
rnbqk2r/ppp2p2/4p2p/3p2p1/1bPPn3/2N2NB1/PP2PPPP/R2QKB1R w KQkq - 2 8,Qc2,4,15,White,0.29,0.41,-0.12,Mistake,71,Good,a3,Queen's Pawn Game,general,board_images/board_282.png,,,
rnbqkbnr/ppp1pppp/8/3p4/3P4/6P1/PPP1PP1P/RNBQKBNR b KQkq - 0 2,c5,4,4,Black,0.04,0.1,-0.06,Inaccuracy,-14,Excellent,c5,Irregular Opening,pawn_push; central_control; queenside_attack,board_images/board_283.png,,,
rnbqkbnr/pp2pppp/8/2Pp4/8/5N2/PPP1PPPP/RNBQKB1R b KQkq - 0 3,Nc6,4,6,Black,0.3,0.59,-0.29,Blunder,-68,Good,Nf6,Queen's Pawn Game,knight_development; knight_development,board_images/board_285.png,,,
rnbqk2r/pp2bppp/4pn2/3p2B1/2PN4/2N5/PP2PPPP/R2QKB1R w KQkq - 1 7,e3,4,13,White,0.29,0.2,0.09,Inaccuracy,45,Good,cxd5,Queen's Gambit,general,board_images/board_286.png,,,
rnbqkbnr/pp2pppp/8/2pP4/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,Qxd5,4,6,Black,1.13,1.27,-0.14,Mistake,-253,Good,Nf6,Zukertort Opening,capture,board_images/board_287.png,,,
r1bqkbnr/pp3ppp/2n1p3/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,4,9,White,0.27,0.08,0.19,Mistake,77,Inaccuracy,cxd5,Queen's Gambit,bishop_development; bishop_development,board_images/board_288.png,,,
rnbqkbnr/ppp1pppp/8/3p4/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,dxe4,4,4,Black,-0.46,-0.52,0.06,Inaccuracy,109,Excellent,dxe4,Queen's Pawn Game,pawn_capture; capture,board_images/board_291.png,,,
rnbqk2r/ppp2ppp/4pn2/3p2B1/1bPP4/2N5/PP2PPPP/R2QKBNR w KQkq - 2 5,Nf3,4,9,White,0.38,0.24,0.14,Mistake,52,Good,Qa4+,Queen's Gambit,knight_development; knight_development,board_images/board_292.png,,,
rnbqk2r/pp2bppp/4pn2/2pp2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq - 1 6,Nc6,4,12,Black,0.2,0.39,-0.19,Mistake,-54,Inaccuracy,cxd4,Queen's Gambit,knight_development; knight_development,board_images/board_293.png,,,
rnbqkbnr/pp2pppp/8/2Pp4/8/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 3,e6,4,6,Black,0.06,0.04,0.02,Excellent,5,Excellent,e6,Queen's Pawn Game,general,board_images/board_294.png,,,
rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPPBP/RNBQK1NR b KQkq - 1 2,c5,4,4,Black,-0.2,0.29,-0.49,Blunder,1,Good,e5,Irregular Opening,pawn_push; central_control; queenside_attack,board_images/board_295.png,,,
rnbqk2r/pp3ppp/5B2/2bp4/8/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 8,Qxf6,4,16,Black,0.73,0.85,-0.12,Mistake,-162,Excellent,Qxf6,Queen's Gambit,capture,board_images/board_296.png,,,
rnbqkbnr/pp2pppp/8/2pp4/5P2/4PN2/PPPP2PP/RNBQKB1R b KQkq - 0 3,Nc6,4,6,Black,-0.17,-0.25,0.08,Inaccuracy,36,Good,Nf6,Bird's Opening,knight_development; knight_development,board_images/board_298.png,,,
r1bqkbnr/ppp2ppp/2np4/4P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 1 4,Nf3,4,7,White,0.83,0.45,0.38,Blunder,121,Good,exd6,Queen's Pawn Game,knight_development; knight_development,board_images/board_300.png,,,
rnbqk2r/ppp2ppp/4pn2/3p2B1/2PP4/2b2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,bxc3,4,11,White,0.45,0.47,-0.02,Excellent,86,Excellent,bxc3,Queen's Gambit,capture,board_images/board_301.png,,,
rnbqk2r/ppp2pp1/4pn1p/3p2B1/2PP4/2P2N2/P3PPPP/R2QKB1R w KQkq - 0 7,Bh4,4,13,White,0.62,0.59,0.03,Good,137,Excellent,Bh4,Queen's Gambit,bishop_development,board_images/board_302.png,,,
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3,4,5,White,0.21,0.18,0.03,Good,60,Good,g3,Queen's Pawn Game,knight_development; knight_development,board_images/board_303.png,,,
rnbqkb1r/ppp2ppp/4pn2/8/2pPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5,Bxc4,4,9,White,0.55,0.62,-0.07,Inaccuracy,136,Good,e5,Queen's Gambit,capture,board_images/board_306.png,,,
r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq - 2 4,Bg4,4,8,Black,0.19,0.12,0.07,Inaccuracy,-25,Excellent,Bg4,Queen's Pawn Game,bishop_development,board_images/board_310.png,,,
rnbqkbnr/pp2pppp/8/2p5/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,Bxc4,4,7,White,0.34,0.31,0.03,Good,67,Excellent,Bxc4,Queen's Gambit,capture,board_images/board_313.png,,,
rnbqkbnr/pp2pppp/8/8/2Bp4/4P3/PP3PPP/RNBQK1NR w KQkq - 0 5,exd4,4,9,White,0.49,0.48,0.01,Excellent,97,Excellent,exd4,Queen's Gambit,pawn_capture; capture,board_images/board_314.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 3,exf4,4,6,Black,-0.2,0.67,-0.87,Blunder,-43,Good,d5,King's Pawn Game,capture,board_images/board_318.png,,,
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 1 5,Nc6,4,10,Black,0.12,0.19,-0.07,Inaccuracy,-28,Good,a6,Queen's Pawn Game,knight_development; knight_development,board_images/board_319.png,,,
rnbqkbnr/pp1p1ppp/4p3/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,4,5,White,0.77,-0.13,0.9,Blunder,59,Inaccuracy,d5,Queen's Pawn Game,knight_development; knight_development,board_images/board_322.png,,,
r1bqkbnr/pp2pppp/2n5/2pp4/3P4/2P1PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,Nf6,4,8,Black,0.17,0.54,-0.37,Blunder,-59,Inaccuracy,cxd4,Queen's Pawn Game,knight_development; knight_development,board_images/board_323.png,,,
rnbqkb1r/ppp2ppp/8/3pP3/4N3/8/PPPP2PP/R1BQKBNR b KQkq - 0 5,dxe4,4,10,Black,-0.51,-0.54,0.03,Good,115,Excellent,dxe4,King's Pawn Game,pawn_capture; capture,board_images/board_325.png,,,
rnbqkbnr/ppp2ppp/8/3p4/3P4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 4,Nf6,4,8,Black,0.16,0.21,-0.05,Good,-44,Good,c6,Queen's Gambit,knight_development; knight_development,board_images/board_328.png,,,
rnbqk2r/pp2bppp/4pn2/2pP2B1/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 6,Nxd5,4,12,Black,0.32,0.48,-0.16,Mistake,-76,Good,cxd4,Queen's Gambit,capture,board_images/board_329.png,,,
